timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540467675684,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675685,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675685,2,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,2,0,0
1540467675686,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675687,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675687,2,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,2,0,0
1540467675688,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675689,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675690,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675689,2,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,2,0,0
1540467675691,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675691,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675692,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675692,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675693,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675693,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675694,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
1540467675694,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-51,text,true,,370,141,2,2,1,0,0
1540467675695,1,HTTP Request,200,,jp@gc - Assessment (SPIKE) 1-52,text,true,,370,141,2,2,1,0,0
